Số 02, LK48
Số 4 hẻm 17 ngách 63, ngõ 173 Hoàng Hoa Thám
Tầng 4, Lô D32
Tầng 2, số 128 Xuân Thủy
TT26, 18
Số nhà 2A, ngõ 40 đường Nam Yên Lũng
Số 63, phố Quán Chè
Số 2, ngõ 158/2
Số 3, dãy C
Số nhà 12, ngõ số 1
Nhà số 7, ngõ 102/2 phố Nguyễn Đổng Chi
Số 22, Ngách 101
Số 37 Ngõ 3, đường Phan Đình Giót
Số 78, Phố Tân ấp
Làng Nghề Hồ Điền, Thôn Hạ
Tầng 4, Tòa nhà Viet Tower
Số 6, ngách 82/23
Tầng 9, Cao ốc Văn phòng VG Building
Số nhà A20 Khu C, Cụm 591
Số 2, đường Cầu Bưu
Số 88, ngõ 15
Tầng 2, số 56 ngõ 49 Thúy Lĩnh
Lô CN1, 02B
Số 9, Ngõ 325/17
Phòng 4011, Tầng 40
Số 16H, ngõ 133 đường Nguyễn Trãi
Số 12, ngách 3/21
Tầng 5, Số 311 Trường Chinh
Tầng 10 Tòa nhà CEO, Lô HH2
Số 14, phố Trần Cao Vân
BT20, ô đất TT2
Tầng 1, Khu văn phòng
Số 16B9, ngõ 199 phố Trần Quốc Hoàn
Số nhà 9, ngách 1
Biệt thự Long Cảnh 95, Vinhomes Thăng Long
Số 20, ngõ 272
Số 8, ngõ 90 phố Tô Hiến Thành
Biệt thự Y1, 11 An Phú Shop Villa
Đường Đào Cam Mộc, Tổ 37
BT5, 22 Khu biệt thự Đoàn Ngoại Giao
Lô đất số B2, 3
Đường Hữu Nghị, Thôn 1 Giang Cao
Tầng 1, Số 11 Ngách 20 Ngõ 1 Phố Đại Linh
Số 42, phố Tăng Bạt Hổ
Tầng 2, Tòa nhà 25T2 lô đất N05
Số 12A ngõ 100, đường Trần Duy Hưng
Số nhà 19, hẻm 2 ngách 1 ngõ 158 Đường Nguyễn Khánh Toàn
Tầng 9, Tòa Zodiac
Số 5 ngách 188/3 tổ dân phố số 2, Liên Cơ
Số 32A dãy A, nhà 14 phố Vĩnh Tuy
Số 166, Phố Bình Đà
Số nhà 43, đường Đông Khê
Số 124, Lô B4
Số 18 Villa E The Manor, KĐT Mỹ Đình
Số nhà 36, Xóm Ngã Tư
Tầng 11, tòa nhà MD Complex
C2.3417 D�capitale, số 119
C5.4206 D�capitale, số 119
Số nhà 29, Ngõ 283 Phố Đội Cấn
số nhà 19, ngõ 61 đường Cổ Linh
Nhà số 2D1, Khu đô thị dự án Cầu Diễn
Tầng 7, Tòa nhà 97
Số 36, phố Phù Đổng Thiên Vương
Số 19, Ngõ 172 Hồng Mai
Xóm 1, Thôn Khánh Tân
Tầng 4, Số 16A Lý Nam Đế
Số nhà 18, B4
Tầng 3, Số nhà 3
Tầng 7 Tòa nhà FPT, Số 10 Phạm Văn Bạch
Cụm 13, thôn Thượng Hội
Tầng 4, Toà nhà Home City số 177
Tầng 1, Khu Nhà G
Số 02, Ngõ 75 Phố Đặng Văn Ngữ
Số 5, Ngõ 106 Hoàng Quốc Việt
Số 1 � Dãy C1, Ngõ 261
Số 68B, đường Trần Nguyên Đán
Số 83, ngõ 337 Định Công
Số 03A nhà G3, Khu B Tập thể Đại học Mỏ Địa chất
Tầng 16, Toà nhà TNR 54A Nguyễn Chí Thanh
Số nhà 42A, ngõ 147A Tân Mai
Số nhà 59, xóm Sân Kho
ô F6/TH2, Linh Đường
VP 26, t�ng 26 t�a nh� S�ng �� � H� ��ng
S� 2/5, ng� 470 B�ch Mai
S� 3A, ng�ch 63/180/90 ���ng L� ��c Th�
Số nhà 16/395 đường Xuân Phương, tổ dân phố 6
Số 58 Đường Lương Thế Vinh, Phường Trung Văn
Số nhà 9, ngõ 7 đường Lê Đức Thọ
Khu Trung Tâm, Xã Dục Tú
116a Linh Lang, Phường Cống Vị
Tầng 4, tòa nhà Khâm Thiên
Xóm Nguyễn,thôn Tiên Hùng
Số 19 Phố Hòe Nhai, P. Nguyễn Trung Trực
Thôn 3, Xã Trung Mầu
Số nhà 85 Ngách 8/11/36 TDP Số 5 đường Lê Quang Đạo, Phường Phú Đô
48TT8 KĐT Văn Phú, Phường Phúc La
DG 10, 36 KĐT Mậu Lương
Phòng 1110, tầng 11
Tầng 11 tòa nhà Prime Centre, số 53 phố Quang Trung
Số nhà 5B, ngách 113
Tầng 12 Tháp C, Tòa nhà Văn phòng Hồ Gươm Plaza
Số 26, LK11A
Số 43, ngõ 259 đường Chiến Thắng
Tầng 2, TT18
LK11, L1 Đấu giá QSD đất Mậu Lương
Số 23, ngõ 514 đường Trần Cung
Thửa đất số 193, 4C; 193
Tầng 7 Tòa nhà Plaschem, số 562 đường Nguyễn Văn Cừ
Số nhà 1A, ngõ 299/15/12
Số 14, ngõ 61/50 phố Bằng Liệt
Tầng 6, toà nhà Sannam
Cụm 2, Thôn Trung
Số 8, Đường Đặc 7 Nội
Số 17, ngõ 524 Bạch Đằng
Số 9, ngõ 172/114 âu Cơ
SN8 Dãy A3, Tập Thể Pin
Số nhà 14, Khu D
Xóm Mới, Thôn Phương Nhị
Số nhà 60b, Ngõ 1
Tầng 6, Tòa TNR Tower
Tầng 3, Toà nhà VEAM
Xóm 9, Thôn Văn Quang
Số nhà 19, Ngõ 84 Phố Tây Trà
Số 1, ngách 43/23 đường Tân Xuân
Ki ốt 14, 785 Trương Định
Tầng 2, Tòa nhà Indochina Plaza
Lô B050, tầng B1
Số 48, ngõ 460 đường Khương Đình
Phòng 905, Tầng 9
Lô 22, Biệt thự liền kề 35 Lê Văn Thiêm
Viện Di truyền Nông nghiệp, Km2 đường Phạm Văn Đồng
Tầng 3, Số 18 phố Miếu Đầm
A32, NV13 ô số 1
B6, BT5
Phòng 508A, Tầng 5
Số nhà 2A, hẻm 322/76/18 đường Mỹ Đình
Tầng 23 tòa nhà Vinaconex 9, đường Phạm Hùng
Số 4, Ngõ 50
LK12, ngách 4
Số 09 Ngõ 10 Đường Trần Duy Hưng, Tổ 26
Tầng 1, Số 29 Lê Quý Đôn
Nhà số 10B, ngõ 7
Liền kề 5B, CCT 10 Khu đô thị Kiến Hưng Luxury
số 67 Mai Hắc Đế, Phường Nguyễn Du
Số 4, Phố Lê Văn Hiến
Số 9, tầng 1
Số 16, ngõ 205 Xuân Đỉnh
Số 14, 16 Hàm Long
Số 176, đường 72
Tầng 5, phòng 511
Số nhà F8, Khu Tập thể Dệt may Hà Nội
Số 113 ngõ 109 tổ 39 cụm 6, Đường An Dương Vương
Số 22 Ngõ Hòa Bình, Phố Khâm Thiên
Số 41A, ngõ 262A
Số 37, Hẻm 358/25/86
Số nhà 2B, ngõ 389 Trương Định
TM01, 01 Sảnh Office Vinhome West Point
Số 17, Ngõ 197/318/3
Số nhà 11, ngõ 22
NO, 5.15 Khu tái định cư
Số 14 Liền kề 8, Khu đất dịch vụ Dọc Bún 1
Số 233, 234
Số 7, ngách 94 ngõ Tự Do
50 Ngõ Đình Đo�ng, Bạch Mai
Số 1, Lô 5 Liền kề An Lạc
Số nhà 61, Ngách 367/21 Phố Ngô Xuân Quảng
Phòng 516, Tòa nhà C2
Phòng 501A, Tầng 5 tòa nhà D�Office
Số 116, Tổ 20
Xóm Điếm, thôn Lê Xá
Tầng 8 tòa nhà Licogi13, đường Khuất Duy Tiến
L2, S1 tòa Sun Grand City Residence
LK1, 39
Nhà số 1 dãy A3, Tập thể Khảo sát xây dựng
Số 41, Ngõ 252 Trịnh Đình Cửu
Số nhà 5, Thôn Xóm Chằm
Số 24, ngách 48
Số Nhà 4, Ngõ 112 Đường La Dương
U03, L44
Số nhà 1C, khu Hưu trí Hà Trì 1
Số 3, ngõ 108/26 đường Trần Phú
Tòa nhà thương mại dịch vụ B, CC
CL29, B Tiểu khu đô thị Nam La Khê
Tầng 2, Tòa nhà Startup Tower
Tòa nhà Sanfacom Tower, số 20
Phòng 3215, Tòa C2
Số nhà 82, ngách 15
Số 9, ngõ 198 Xã Đàn
SN1, ngách 128
ô 137, lô A
Tầng 6, Số 68
Số 6, Ngõ 128
Số 1 Phúc Thịnh, Cầu Bươu
Số 5, ngách 5
Số 25, ngách 22
Lô 79, Khu tập thể công ty kinh doanh dụng cụ chỉnh hình
Số nhà 39 khu B, Tập thể trung đoàn 664
Tầng 2, tòa nhà Chelsea Park
Số 42 ngõ Toàn Thắng, phố Khâm Thiên
Số nhà 15, ngách 28 ngõ 9 phố Trần Quốc Hoàn
BX5, Dự án 15 Đông Quan
Tầng 4 tòa nhà SME Hoàng Gia, Số 12 Tô Hiệu
Km 15 Đại Lộ Thăng Long, đội 3
Tầng 2, Tòa nhà B
Số 46, đường Tăng Thiết Giáp
Số 411 mặt đường QL21A, thôn Tân Phú
Số 12, ngách 59
Tầng 6 Tòa nhà ZenTower, số 12 Khuất Duy Tiến
Số nhà 104, Thôn Vân Hoà
Lô 5, Cụm công nghiệp làng nghề cơ khí mộc Nguyên Hanh
Số nhà 1, ngách 34/154 đường Đình Thôn
S2.05 Tầng 1 Toà nhà Vinhome Smart City, đại lộ Thăng Long
Số 66 Ngõ Núi Trúc, phố Núi Trúc
Số 6 Nguyễn Hoàng Tôn, Phường Xuân La
Số 15, ngõ 11 Tô Ngọc Vân
Số 15A, Tổ 10
Số nhà 17, ngách 37
Số 1, ngõ 343 Nguyễn Khang
Số nhà 26, ngõ 24
Tầng 1, Tòa nhà CT2
Tầng 2, Tòa nhà C�Land
A6, Lô BT5
Tầng 11, Tòa văn phòng
Town 5.17, khu Đô thị Khai Sơn
Tầng 6, tòa nhà MD Complex
Số 5, Ngách 98/10
Lô 2A.1, Tầng 2
Số 10, Đường Sau Đình
Số nhà 05, Ngõ 342
Tầng 23, Tòa nhà Leadvisors Tower
Tầng 1, Tháp A
LK02, 116
Bãi Đồn, Thôn 2
14, B20 Khu nhà ở Xã Tân Lập
Số 44, ngõ 376 đường Bưởi
So�� 18A, Ngách 168
Số nhà 3, ngõ 43/35 TDP Dưới
Tầng 5, Tháp CEO
Số nhà 05, ngõ 63
Số nhà 963, đường 72
Tầng 11, Tòa nhà Đa Năng
Số nhà 50 ngõ 358/40/30 Bùi Xương Trạch, Phường Khương Đình
Số 64 ngõ 181, Đường Trường Chinh
Số 68, đường Dương Đình Nghệ
OF, 11
Tầng 10, Toà nhà Việt á
Số 88 ngách 10 ngõ 169, tổ 17
Tầng 12 Toà Nhà Licogi 13, Số 164 Khuất Duy Tiến
Tầng 6, Tòa Hanoi Center Point
124 phố Trung Kiên, tổ dân phố Trung 8
Số 26, Ngõ 34 phố Ngô Quyền
Số nhà 40A ngách 112/11 ngõ 112 đường ỷ La, tổ dân phố Trung
Lô 20, liền kề 10
Số 10 ngách 12/27 ngõ Chùa Liên Phái, phố Bạch Mai
Tầng 3 số 333 đường Nguyễn Khoái, Tổ dân phố 33D
G7 � 4, Khu B ĐH Mỏ
Tầng 4, Ocean Park Building
Phòng 29, Tầng 5
Phòng 1208 Tòa B, Hongkong tower
Số 178, đường Phúc La
Tầng 03, Tòa nhà 110
B16, 05A Khu Đô Thị Thành Phố Xanh
Nhà số 7, ngách 52/38/1 đường Mỹ Đình
LK1, K10
Tầng 23 Tòa nhà Vinaconex 9, Đường Phạm Hùng
Số 1, ngách 8
Số 5, ngõ 1
Số nhà 19C, Ngõ 174 đường Phương Canh
Tầng 3, Dolphin Plaza
Số 9B, Ngõ 55
Phòng 4121, tòa C5
Tầng 9, Tòa nhà Sky City
Số 176 phố Thái Hà, Phường Trung Liệt
12A, B1 Tổ 5 Khu Dân cư Dốc Lã
Số nhà 16/69 đường Phúc Thành, Tổ Yên Thành
Số 1, ngõ 91 đường Cầu Diễn
Số nhà 65, Đường Mai Châu
LK10, 02 KĐT Văn Khê
Tầng 2 Tòa nhà Trung Yên 1, Khu đô thị Trung Yên
Số 9, ngách 358/62 Bùi Xương Trạch
Số nhà C10, TT13
Xóm Chí Thiện, thôn Đa Phúc
Số nhà 7b ngõ 28, phố Phương Mai
số 3, ngách 129
Xóm Đình, thôn Triều Khúc
Số 7 ngõ 1 phố Tản Đà, Đường Tô Hiệu
Tầng 4 C8, ngõ 193 đường Trung Kính
Số 11 Ngõ 271, Đường Lạc Long Quân
Tầng 10, Tòa nhà Việt á
Tầng 9, Tòa Nhà Ladeco
Số 95, Đường Gia Thượng
Số nhà 20, ngõ 1
Tầng 13, TN ở và VP làm việc tại lô D
P1701, tầng 17 tòa nhà Prime Center
Tầng 22, tòa nhà PVI
Biệt thự TT7A, 20
G20, Làng Quốc tế Thăng Long
tầng 5, số 5B
Tầng 7, Số 174 đường Thái Hà
Số 30, ngõ 109
Khu đất Ao phần tư, đường Cảng Khuyến Lương
Lô V6A � ô Số 08, Khu nhà ở Văn Phú
Số 2, ngõ 3 Phố Lương Văn Can
Nhà B5/66 ngõ Thông Phong, đường Tôn Đức Thắng
Số 12, ĐG06 Khu đấu giá QSD đất tái định cư Kiến Hưng
Số 33, Ngõ 6 đường Ngô Đình Mẫn
Biệt thự liền kề U14, L02 Khu đô thị Đô Nghĩa
Số nhà 132C, đường Nguyễn Huy Tưởng
Tầng 2, Tòa Nhà B9
Số 8, NGáCH 22/35/10
Tầng 3 khu văn phòng, Tòa nhà N01
Dự án Vinhomes Ocean Park Gia Lâm, Số 425 Sao Biển 23
Tầng 29, tòa Đông � Lotte Center Hà Nội
Tầng 2, Tòa nhà Trung Yên 1
Tầng 6, Tòa nhà Việt á
Số 27, Khu biệt thự Shophouse
Số 26, Khu biệt thự Shophouse
Nhà số 5, ngõ 41 đường Tả Thanh Oai
Tầng 9, Toà nhà Văn phòng Viglacera
Tầng 5, Toà nhà Văn phòng Viglacera
Số 47B, Ngách 322/17 Đường Mỹ Đình
Số 21, phố Nhà Chung
NV1.8 khu đô thị chức năng Tây Mỗ, số 272 đường Hữu Hưng
SB 9a � SP 12 � 10, Đường Sao Biển 9a
TT3B.31 Villa, Khu đô thị Phùng Khoang
Số 10, 5/87 Hoàng Quốc Việt
Số 3 ngách 255/45, đường Cầu Giấy
Số 19, LK 19 Khu Đô thị Văn Khê
Số 2, hẻm 12/36/45 phố Nguyễn Văn Trỗi
SN 12, ngõ 205/157
Tầng 1, tháp II
Số 23 Ngõ 98, Tổ 11 Khương Mai
Số 106, ngõ 54
Căn số 14, tầng 2 khu dịch vụ
Liền kề 17TT1, số 96B Nguyễn Huy Tưởng
Số 05 ngõ 60 đường Xuân Phương, tổ dân phố số 8 Tu Hoàng
Số 2, ngõ 103 Văn Cao
Tầng 29, Tòa Đông Lotte Center Hà Nội
Đội 11, Thôn Thuận Tốn
Số nhà 95, Ngõ 113 Phố Thái Thịnh
Số 10, Dãy 1
P403 tòa nhà Ocean Park, số 1 Đào Duy Anh
Số 7, ngõ 340
Số 15A, Ngõ 192 Lê Trọng Tấn
Toong IPH, Tầng 2
Số nhà 218 B5, ngách 94/51 Phố Tân Mai
Số nhà 34, Ngõ 146
Tầng 9, tòa nhà Detech II
Số 7A, Ngõ 87 Đường Nguyễn Khang
SN 1018 đường Nguyễn Khoái, tổ 10
Số 42, ngõ 192
Số nhà 1, Ngách 77
Tầng 2 U8 L8 KĐT Đô Nghĩa, Đường Yên Lộ
Số nhà 72, đường Anh Đào 9
Số nhà 79, Ngõ 217 đường Trần Phú
Số 19, Tổ 16 đường Pháp Vân
Tầng 2, Tòa nhà AZ Lâm Viên
Số nhà 37 ngõ 4 đường Phạm Văn Đồng, Tổ 2
Nhà 07, liền kề 3
Số nhà 8, ngõ 34 đường Châu Văn Liêm
Tầng 10, Khối B
Phòng 2608, Tầng 26
So�� 45, Ngõ 151 Láng Hạ
Z5, 39
Số 38, Xóm Thi Đua
Số 493, đường Trương Định
Số 45, LK01
TT19, B20
Tầng 6 Lotus Building, Số 2 Duy Tân
Tầng 4, số 18 Nguyễn Thị Định
Tầng M, Toà nhà Charmvit
Tầng 3, Tòa nhà Skylight
Xóm Mé, thôn Bảo Tháp
Tầng 6, Tòa nhà MD Complex
A1214 sảnh A2, HD Mon City
Tầng 1, Tòa nhà Viwaseen
Số 2, ngõ 110
Số 64, Ngách 85
Tầng 12, Toà nhà Pacific Place
Xóm 10, Thôn Kim Hoàng
Tầng 5, toà nhà Vườn Xuân
Số 2, ngõ 26/1
Tầng 8, Tòa nhà số 5 Điện Biên Phủ
A40, TT12 Khu Đô Thị Văn Quán
Số 6, Ngách 68/1 đường Trâu Quỳ
Xóm Đình, thôn Cổ Điển A
Số 1, Yecxanh
Số 05 Ngách 60, Ngõ 13 Đường Khuất Duy Tiến
Số 14 ngách 143 Ngõ 85, Phố Hạ Đình
Số 14 dãy B10, đường Đầm Trấu
Phòng 302, Tầng 3
số 21, tổ 10
35 BT5 Khu Đô thị Pháp Vân, Phường Hoàng Liệt
Số 19, phố Trần Cao Vân
Nhà số 10, ngách 56
Số 7, Dãy H
Liền kế số 16, số 19
Số nhà 04, Tổ 3
Số nhà 51 ngõ Trại Cá, đường Trương Định
Thôn Đoài, Xã Phù Lỗ
Số 11A, ngách 184/12 Đê Trần Khát Chân
Số nhà 51B, Ngõ 59 Phố Hoàng Cầu
Nhà 3 hẻm 146/11/8, ngõ 146 phố Vương Thừa Vũ
Số nhà 4 Ngõ 241/10 Đường Sùng Khang, Tổ dân phố Đại Cát Một
Tổ 4, Thị trấn Quang Minh
Số 34, OBT4
số nhà 32, ngõ 108 phố Đông Thiên
Số 45/282 đường Cổ Nhuế, Phường Cổ Nhuế 2
Số 1, ngõ 332/3
Số nhà 56, Ngõ 196
Số 14, ngách 214/45
Số 31 ngách 211/237 đường Khương Trung, Phường Khương Trung
Số 41 ngõ 67 Khương Trung, Phường Khương Trung
Lô B10 khu Bồ Hỏa, Phường Hà Cầu
Số nhà 27 ngõ 19 tổ 1, Phường Phú Lương
Tầng 7, Số 141 Hoàng Quốc Việt
Số nhà 1164 Đường Láng, Phường Láng Thượng
Xóm 8, thôn Việt Yên
Số 72 ngõ Hòa Bình, Phố Khâm Thiên
Liền kề 21, Lô M3
Số 31 Trần Hưng Đạo, Phường Phan Chu Trinh
Thôn Mạch Tràng, Xã Cổ Loa
BX10 số 15B Đông Quan, Phường Quan Hoa
Số 72 ngõ 1 Phạm Văn Đồng, Phường Mai Dịch
Tầng 6, Số 207 Nguyễn Ngọc Vũ
Phòng 501, Tòa nhà 121 số 85 Nguyễn Phong Sắc
Tầng 4, Số 132 Vũ Phạm Hàm
Số 31 ngõ 26/63, Phố Trần Quốc Vượng
Số 499, đường Lương Thế Vinh
Tầng 5, số 35 Nguyễn Khắc Hiếu
P406, BacNam Tower
Số 8/16 ngõ 197/318/3 phố Thạch Bàn, Phường Thạch Bàn
S� 14, 16 H�m Long
L� 92, Ki�u nh� A1
T�ng 3 to� nh� The Sun, ���ng M� Tr�
S� 90, ng� 167 T�y S�n
Phòng 11 và 12, Tầng 18
Phòng 301 Tầng 3 khối B, số 7
Số 16, ngõ Chùa Mỹ Quang
Số 43, ngõ 218 Lĩnh Nam
Lô 38E, Khu công nghiệp Quang Minh
Số nhà 63, Xóm Thượng An
Tầng 3, Tòa nhà Thăng Long
Nhà so�� 9, xóm Nam So�n
Tầng 8, toà nhà sannam
Số 21A, ngõ 4
BT2, 4 (114) � Đô thị Văn Khê
Tầng 11, Tòa nhà Thành Công
Số nhà 1, ngách 145/46/17
Nhà số 5, Tổ 1
Số 21A, Ngách 80/14
Số 12A, ngõ 30
Số 96, Đường Ngọc Hồi
Tầng 8, toà nhà Hoa Đào
Số nhà 22, ngõ 4
Số 15 ngõ Lan Bá, Phố Khâm Thiên
Tầng 7, số 8 phố Phạm Ngọc Thạch
Số 300, đường Nguyễn Khoái
Tầng 5 Toà nhà văn phòng TechnoPark, Khu đô thị Vinhomes Oce
Số nhà 16, ngách 45
Số 4, ngõ 158 Giáp Bát
Tầng 3, Số nhà 42 đường Kim Mã
Tầng 8, Tòa nhà Kim Khí Thăng Long
Tầng 16, Tòa nhà Charmvit
Tầng 6, toà nhà Việt á
Tầng 10 Tháp Tây, toà nhà Hancorp Plaza
Thôn 2, Xóm Giáo
Không gian làm việc chung UP, tầng 2
P2, T29 Tháp Đông
283, 285 Đại Mỗ
T3 � A3.04, Tầng 3
Đội 6, Thôn Vĩnh Trung
Số 28, ngõ 52 phố Tô Ngọc Vân
Số 8 Ngõ 59, Phố Đồng Me
Tầng 2, Số 34 Giang Văn Minh
số 27A, ngõ 120
Số 27 ngõ 55, phố Chính Kinh
Tầng 2, Tòa N09
Tầng 7, tòa nhà RockLand
Số 7, đường Thọ Tháp
Tầng 8, Tòa Viwaseen 48 Tố Hữu
Khu Tây Phu, thôn An Hạ
LK01A, KĐT Mỹ Đình 2
Nhà số 28, Đường Nông Dân
Nhà A5, ngõ 699 Lạc Long Quân
Tầng 3, Tòa nhà Terra
Số 31, ngõ 88 Trần Quý Cáp
Số 17, ngõ 475/20 Đường Nguyễn Trãi
Lô CC8, Khu Đô Thị Mới C2
Số 36 BT5 X2, Khu đô thị Bắc Linh Đàm
Số CH 16, Tầng 1 Tòa C
Số 10, ngõ 171
Thửa đất 169 (M11, 02)
Số nhà 219, phố Hoa Lâm
Số 3, hẻm 8
Điểm X2, Thôn Hương Trầm
Tầng 1, nhà số 3
Số nhà 8ab, ngõ 250
Số 61D, Tổ 6
Số 48, phố Văn Quán
No09 � LK15 � Khu LK16, LK17
Tầng 6, tòa nhà Việt á
Số 7, ngõ 32/15/21 An Dương
Nhà số 5A, Ngõ 241 Xã Đàn
Tầng 2, số 15 ngõ 167 Tây Sơn
Số nhà 2B, Ngõ 252/53
Tầng 8, Tòa nhà Detech II
Tầng 6, Tòa nhà New SkyLine
Số 65, đường 70 Miêu Nha 3
Tầng 6, số 85 Vũ Tông Phan
Số 51, 52
Số 7, Lô 20
Tầng 4 Tháp A Keangnam, Đường Dương Đình Nghệ
Số 2, Ngõ 68 Đường Lưu Hữu Phước
Số 11A Ngõ 75/21 Cầu Đất, Chương Dương
Số 5 nhà D, ngõ 6 phố Tôn Thất Tùng
Số 4, dãy B5 ngõ 7 Kim Mã Thượng
Tầng 8 Tòa nhà Detech Tower 2, số 107 Nguyễn Phong Sắc
Số nhà 47, ngõ 53/54/1 đường Ngọc Hồi
Tầng 4, Tòa nhà số 87 Vương Thừa Vũ
Số nhà 50, ngách 79
Số nhà C10, Lô 8
46 ngõ 307 Bùi Xương Trạch, Phường Định Công
Số 152, Phố Nguyễn An Ninh
Khu đồng thuyền dưới trại ông Khiếu, tiểu khu Phú Gia
Số 37, ngõ 146 vương thừa vũ
ô 30, Dự án khu nhà ở thấp tầng The Premier tại Lô E2/D21
Tầng 12, Số 81 Phố Trần Thái Tông
Phòng F1114 Tầng 11, Tòa nhà Charmvit Tower
Số 9, ngõ 16
Số nhà 63, Cụm 3
Số 5 ngách 269 Ngõ Quỳnh, Phố Thanh Nhàn
Tầng 2, số 22 đường 3
Tầng 9, tòa nhà 169 Nguyễn Ngọc Vũ
C25, Lô 8 Tổ 6
Số Nhà 2 , Ngõ 13
Số 8B, ngách 3/8
Số 7, ngách 45/7
Số nhà 11, đường Nông dân
Nhà số 5, lô 15E
Số 63 ngõ 92 Đào Tấn, Phường Cống Vị
Thôn Đường 23, Xã Thanh Lâm
P603 tòa nhà văn phòng HKC, số 285 Đội Cấn
Thôn Đại Vĩ, Xã Liên Hà
Số nhà 58, đường 2.3
Số 22,Ngách 143/290 Nguyễn Chính
Số 18, Ngõ 175 Định Công
Tầng 1, Số 25 Phố Hoàng Văn Thái
Số 8, ngách 42
TT1, 26
Tầng 4 Tòa nhà Anh Minh, Số 36 Phố Hoàng Cầu
Số 9, ngõ 2
Số nhà 31, ngõ 5 Lê Đức Thọ
Số nhà N4A15, Ngõ 3 Nguyễn Hoàng
Số nhà 143, đường Hoàng Hoa Thám
Tầng 4, Tòa CT1
TT01, 33 Dự án Hải Đăng City
Số 41, Lô 4
Số nhà 10, xóm Vực
Thửa đất số 95D, 4
Tầng 7, tòa nhà Mac Plaza
Số nhà 72, ngõ 02
Phòng 801, Tầng 8
Nhà số 6, Liền kề 9
Số nhà 18, Ngõ 9
Căn B12a, 12a Vinhome Gardenia
Số 6, ngõ 810 La Thành
Số 72 ngõ Khâm Đức, Phố Khâm Thiên
Số 1, Ngõ 255
Tầng 9, Tòa nhà Gelex Tower
Km6, quốc lộ 2
Lô C4 khu đô thị Nam Trung Yên, phố Đinh Núp
Tầng 04, số 71 ngõ 189 đường Nguyễn Ngọc Vũ
Căn 0208, G2
Số 31 lô 5, Làng Nghề Sơn Mài Hạ Thái
So�� 9 ngách 49, ngõ Thịnh Hào 1
Nhà số 4, Ngõ 12
Số 51, 53 Đinh Tiên Hoàng
Tầng 7, số 113 � 115 Lê Duẩn
Số 36B, ngõ 278
K3, 19
CH 04, Nhà N1
Đội 3, thôn Hậu Trạch
Số 12, ngõ 8A
Số nhà 2B, Ngõ 20/14 đường Hồ Tùng Mậu
Tầng 5, nhà B5
Số nhà 12, Ngõ 66
Phòng 302A, Tầng 3
Tầng 14 Số 9, Phố Duy Tân
Số nhà 15 tổ 16, Lô N9A
Phòng 31, tầng 15B tòa G3
Văn phòng đường Nam Ngãi Cầu, số nhà 11 xóm 3
Số 13, BT4
Xóm Thanh Bình, thôn Thượng Thanh
Tầng 2, Tòa nhà Comatce Tower
Tầng 2, Nhà số 3 ngách 157/31 Pháo Đài Láng
Tầng 6 tòa nhà Zen Tower, số 13 Khuất Duy Tiến
Số 70, Hẻm 26/23
Tầng 17, Tòa nhà Prime Center
Số 9B, Ngõ 2
Phòng 601, Tòa nhà 3D Center
Số nhà 40B, Ngách 108
Xóm Trại A, Thôn Khê Ngoại
Nhà số 8, Ngách 19/15 Kim Đồng
Số 12 phố Văn Quán, khu đô thị Văn Quán
số 35, ngõ 2
Tầng 2, Số 641 Nguyễn Khoái
Tầng 12, tòa nhà Licogi 13
D3 NV2 ô số 6, khu đô thị mới Hai bên đường Lê Trọng Tấn
Tầng 9, Tòa ICON4
Số 03, No TT4.3
Số nhà 41, ngách 90
Số 9, Phú Vinh
Số 47, Lô TT6
Số 278 Phố Thụy Khuê, Phường Thuỵ Khuê
Số 9A, ngõ 604 đường Trường Chinh
Tầng 1, Số 173 Đường Định Công Thượng
Số 41, phố Trần Hòa
Liền kề 21, Lô A19 KĐT
Số 17, Ngõ 69
Số 2, Tập thể Công ty dịch vụ nông nghiệp Từ Liêm
Liền kề 20, C14 Bắc Hà
Số 04, Ngõ 23
Dãy M, tổ 9
ô TH3 khu Đô thị Đông Nam Trần Duy Hưng, phố Hoàng Minh Giám
Tầng 6, Tòa nhà Imperial Suites
Xóm ngoài, ngõ 192 đường Cao Lỗ
Nhà liền kề 5a, 164 Khuất Duy Tiến
Số Nhà 14, Ngõ 107 đường Trần Cung
Số 8, Lô 2C Trung Yên 6
Số 20, ngõ 90/1 Hoa Bằng
Tầng 10, tòa nhà SUDICO (HH3)
Số 19E, Ngõ 40
A14, LK2 ô số 8
Tầng 6, nhà Q
Tầng KT, tòa 21T1
92 Xuân Diệu, Phường Tứ Liên
Số 80, Phố Hai Bà Trưng
Số nhà 11 đội 6, Thôn Mộc Hoàn Đình
Số nhà 57, ngách 41
Số 35, ngõ 89
Số nhà 2, ngõ 402/42/28
Tầng 6, Tòa nhà Hoa Đăng
Nhà C4X3, Khu đô thị Mỹ Đình 1
Xóm 3, Thôn La Tinh
Số 10, ngõ 4 phố Hoàng Diệu
Số 2, Đường Bồ Kết
C02, L16
Số 31, ngõ 66 Dịch Vọng Hậu
SH03.B2, số 505 đường Minh Khai
Tầng 8, 18 Khúc Thừa Dụ
Số 1, ngách 23
Số 22, Ngõ 31
Tầng 4, Nhà số 7A1 Khu Đầm Trấu
Số 55, Ngách 291
Lô D4, 09 khu D
Số 2, phố Vĩnh Phúc
Tầng 6, Newskyline
